iter	Passed	Remaining
569	2149	1621
570	2151	1616
571	2153	1611
572	2154	1605
573	2160	1603
574	2163	1598
575	2164	1593
576	2166	1588
577	2168	1583
578	2173	1580
579	2175	1575
580	2178	1570
581	2179	1565
582	2181	1560
583	2182	1554
584	2187	1551
585	2189	1546
586	2190	1541
587	2193	1536
588	2194	1531
589	2196	1526
590	2200	1522
591	2202	1517
592	2205	1513
593	2208	1509
594	2210	1504
595	2213	1500
596	2218	1497
597	2220	1492
598	2222	1488
599	2224	1482
600	2226	1477
601	2232	1475
602	2236	1472
603	2239	1468
604	2245	1466
605	2247	1461
606	2250	1457
607	2252	1452
608	2255	1448
609	2261	1445
610	2263	1441
611	2266	1436
612	2268	1432
613	2274	1429
614	2277	1425
615	2279	1420
616	2281	1415
617	2282	1411
618	2284	1406
619	2291	1404
620	2294	1400
621	2296	1395
622	2299	1391
623	2301	1386
624	2302	1381
625	2305	1377
626	2306	1372
627	2307	1367
628	2312	1364
629	2314	1359
630	2315	1354
631	2317	1349
632	2320	1345
633	2321	1340
634	2327	1337
635	2328	1332
636	2330	1328
637	2332	1323
638	2333	1318
639	2335	1313
640	2337	1308
641	2341	1305
642	2342	1300
643	2344	1296
644	2346	1291
645	2347	1286
646	2350	1282
647	2355	1279
648	2357	1274
649	2359	1270
650	2360	1265
651	2362	1260
652	2364	1256
653	2367	1252
654	2369	1248
655	2371	1243
656	2373	1239
657	2374	1234
658	2376	1229
659	2377	1224
660	2383	1222
661	2384	1217
662	2386	1213
663	2389	1209
664	2390	1204
665	2392	1199
666	2395	1195
667	2397	1191
668	2399	1187
669	2402	1183
670	2404	1178
671	2408	1175
672	2410	1171
673	2412	1166
674	2413	1162
675	2416	1158
676	2418	1153
677	2421	1150
678	2424	1146
679	2426	1141
680	2428	1137
681	2430	1133
682	2432	1129
683	2436	1125
684	2438	1121
685	2440	1116
686	2441	1112
687	2443	1108
688	2445	1104
689	2447	1099
690	2451	1096
691	2454	1092
692	2455	1087
693	2457	1083
694	2458	1079
695	2460	1074
696	2462	1070
697	2467	1067
698	2469	1063
699	2471	1059
700	2473	1054
701	2474	1050
702	2476	1046
703	2481	1043
704	2483	1039
705	2485	1035
706	2487	1030
707	2488	1026
708	2490	1022
709	2492	1018
710	2497	1014
711	2499	1010
712	2501	1007
713	2506	1003
714	2507	999
715	2509	995
716	2511	991
717	2513	987
718	2515	982
719	2516	978
720	2522	975
721	2523	971
722	2525	967
723	2527	963
724	2529	959
725	2530	955
726	2536	952
727	2537	948
728	2539	943
729	2540	939
730	2542	935
731	2544	931
732	2548	928
733	2550	924
734	2551	920
735	2553	915
736	2554	911
737	2556	907
738	2557	903
739	2561	899
740	2563	896
741	2565	892
742	2567	888
743	2568	883
744	2570	879
745	2571	875
746	2573	871
747	2577	868
748	2579	864
749	2581	860
750	2583	856
751	2584	852
752	2585	848
753	2587	844
754	2590	840
755	2592	836
756	2594	832
757	2596	828
758	2597	824
759	2599	820
760	2602	817
761	2606	813
762	2607	809
763	2609	806
764	2611	802
765	2612	798
766	2614	794
767	2615	790
768	2618	786
769	2620	782
770	2622	778
771	2624	775
772	2625	771
773	2627	767
774	2628	763
775	2632	759
776	2634	756
777	2635	752
778	2637	748
779	2639	744
780	2640	740
781	2642	736
782	2646	733
783	2648	729
784	2649	725
785	2651	721
786	2653	718
787	2654	714
788	2656	710
789	2660	707
790	2661	703
791	2663	699
792	2664	695
793	2665	691
794	2667	687
795	2669	684
796	2673	680
797	2675	677
798	2677	673
799	2678	669
800	2680	665
801	2682	662
802	2683	658
803	2685	654
804	2691	652
805	2695	648
806	2697	645
807	2699	641
808	2705	638
809	2707	635
810	2709	631
811	2711	627
812	2713	624
813	2719	621
814	2723	618
815	2725	614
816	2727	611
817	2733	608
818	2735	604
819	2738	601
820	2740	597
821	2742	593
822	2747	590
823	2749	587
824	2751	583
825	2754	580
826	2756	576
827	2761	573
828	2763	570
829	2765	566
830	2768	563
831	2770	559
832	2772	555
833	2775	552
834	2777	548
835	2778	545
836	2780	541
837	2782	537
838	2783	534
839	2789	531
840	2791	527
841	2793	524
842	2796	520
843	2798	517
844	2802	514
845	2805	510
846	2806	507
847	2808	503
848	2809	499
849	2811	496
850	2816	493
851	2818	489
852	2819	485
853	2821	482
854	2823	478
855	2825	475
856	2830	472
857	2832	468
858	2834	465
859	2836	461
860	2838	458
861	2839	454
862	2843	451
863	2845	447
864	2848	444
865	2850	441
866	2851	437
867	2853	433
868	2854	430
869	2858	427
870	2860	423
871	2862	420
872	2864	416
873	2865	413
874	2867	409
875	2869	406
876	2872	402
877	2874	399
878	2876	395
879	2879	392
880	2880	389
881	2882	385
882	2883	382
883	2886	378
884	2888	375
